modelo,pr_auc,roc_auc,recall,precision,tempo
XGBoost,0.8436941994518061,0.9781445573475811,0.82,0.9013621928348365,5.122652530670166
XGBoost,0.8436941994518061,0.9781445573475811,0.82,0.9013621928348365,4.396230936050415
RandomForest,0.8328260009505339,0.9430914131663298,0.7487017543859649,0.9485159043854695,39.64129972457886
RandomForest,0.8328260009505339,0.9430914131663298,0.7487017543859649,0.9485159043854695,40.10054302215576
KNN,0.7970437901506624,0.9231538201228056,0.7566666666666666,0.9194410370673106,88.79927229881287
KNN,0.7970437901506624,0.9231538201228056,0.7566666666666666,0.9194410370673106,87.83335709571838
LogisticRegression,0.7538975277375821,0.9817684126253343,0.9073333333333334,0.058312767337096116,2.4650721549987793
LogisticRegression,0.7538975277375821,0.9817684126253343,0.9073333333333334,0.058312767337096116,16.405152559280396
LinearSVC (calib.),0.7332000641567786,0.980251735586976,0.5765964912280702,0.866720547076482,11.449655532836914
LinearSVC (calib.),0.7332000641567786,0.980251735586976,0.5765964912280702,0.866720547076482,11.781636238098145
DecisionTree,0.5379088768416171,0.8582816093949737,0.7169824561403508,0.7433212814017767,7.864340782165527
DecisionTree,0.5379088768416171,0.8582816093949737,0.7169824561403508,0.7433212814017767,6.3429365158081055
LightGBM,0.04164319765226952,0.827799932093994,0.8491929824561403,0.047586953309135906,3.0538673400878906
LightGBM,0.04164319765226952,0.827799932093994,0.8491929824561403,0.047586953309135906,5.316307544708252
